time,cvar_residual
0,0.00025688042840090586
1,-0.005846649234075225
2,0.00039546748433193983
3,-0.008664866064415796
4,0.0031445853043708754
5,-0.0015455400822654579
6,-0.00041016249772715045
7,0.0021359273525557118
8,0.0010284445868805458
9,-0.002706297868655556
10,0.005168064188232354
11,0.003984662823195267
12,-0.008871420961121325
13,-0.001151213357362993
14,-0.005401433968481386
15,-0.006340290495977112
16,0.0026756681175580956
17,-0.0020963064033262023
18,-0.0007138582447320504
19,-0.0033484246688853013
20,0.0018508772640991387
21,0.0033917344265951576
22,0.010851274314881625
23,-0.0009048713224907574
24,-0.007242087373877559
25,-0.00251946845215759
26,0.004235299606908283
27,-0.003863225950651541
28,-0.007410637997274903
29,-0.0037590884314403507
30,-0.0026668295887465714
31,-0.005413347739823282
32,0.0010873825705821879
33,-0.00039511140603359923
34,0.003948526204093985
35,-0.0022292991746279463
36,0.002790323842842509
37,-0.0024613539701183293
38,-0.0056480618090436795
39,-0.002715095676229664
40,-0.008091335945251486
41,0.008941078199914894
42,0.0007124987389300109
43,-0.003977034451652315
44,-0.0018882208114103017
45,-0.012252319916200348
46,0.007171766125359087
47,0.006682740221071169
48,0.0005377095208004825
49,0.0015973114803170322
50,-0.0063383838846283016
51,-0.005974849476302586
52,-0.008486480745938661
53,-0.0008053404288679545
54,0.005305177024329662
55,-0.0019160731435117263
56,0.001738479150888085
57,0.004894169474467831
58,-0.00812050338989019
59,0.009227827126896382
60,0.0057866019371563375
61,0.0025694635888021304
62,0.004620472652680363
63,0.004855381516375349
64,0.0014631994329490615
65,0.007141389764462847
66,-0.0022633017430872685
67,0.0023090560259769917
68,0.006608214006250299
69,-0.013455998780296055
70,0.002189816729870788
71,0.0036230248922167734
72,-0.008542206829422213
73,0.0014091004300829182
74,-0.003968529901798194
75,0.0019840314079561825
76,-0.00047499648205375454
77,-0.004731640845851466
78,0.005548318318007255
79,-0.002091825119947526
80,0.0013498189701079142
81,0.006570238117420492
82,-0.004583472471915906
83,4.024623986413671e-05
84,-0.002476635725216698
85,-0.00136089822268862
86,0.010780426039532288
87,0.0022838794203513977
88,0.0015679633831110307
89,0.0026204366696573013
90,0.0021512981379123303
91,-0.009129067694925915
92,0.011483804102611038
93,-0.007321847625693223
94,0.008662971330131409
95,0.0030900768251112577
96,0.0009038950906723583
97,-0.0015274248803832085
98,0.01302580275546649
99,0.0030224478008721314
100,8.844032459199639e-05
101,-0.0026763135225517
102,-0.0032757413437354277
103,0.00025305423586107205
104,-0.004653015158306216
105,0.0033982552397237298
106,-0.0032282118361816863
107,0.005024777572229121
108,0.004912936906556433
109,-0.000277178395620961
110,0.0029015111492748853
111,0.00315181954763399
112,-0.007311658045724002
113,0.008658464943268121
114,-0.001278718571435772
115,0.003477867567078502
116,0.00361811755526412
117,-0.012447685457677042
118,-0.003284645973747347
119,0.00420184410213028
120,0.00031126229717601516
121,0.003444846681690349
122,0.0004618328072259196
123,0.006146908969015726
124,0.0005701694422220533
125,0.007120445483902381
126,-0.004900142886060222
127,-0.0006382003473947229
128,-0.0029669978429101907
129,0.0019431803203113264
130,-0.001393339724412883
131,-0.0011475709354681837
132,-0.003523831816251234
133,-0.0023036775846427193
134,-5.138531958338678e-05
135,-0.010106725755915865
136,-0.011508819280155885
137,0.0002957297115374134
138,-0.013845882826167707
139,-0.0009657113840403562
140,-0.00188581880595607
141,0.002710189349304367
142,-0.0033600918952596467
143,0.007847573846459831
144,0.004240814366152172
145,-0.007561470158257571
146,-0.0014217317873717126
147,0.007635925720919375
148,-0.00348815952699767
149,-0.0002644616251270561
150,0.007020637879273884
151,-0.002702978080313891
152,0.005614899700414461
153,-0.004549998013068096
154,-0.014438069250730597
155,0.0061426465822031345
156,0.0021936752002873787
157,0.002522821376672328
158,-0.005464813956526372
159,-0.005066763082484317
160,0.005752182598680699
161,0.0012160365370213148
162,-0.0005872802866887985
163,0.0011046333105708206
164,0.007542527650061502
165,0.0036184411352628487
166,-0.00237322598692579
167,-0.00701743930560026
168,0.002940268809138926
169,-0.004619840053171144
170,-0.0059118846880938285
171,0.0065787459343703385
172,0.0043620287337907335
173,0.0019284296334024886
174,-0.006191985304686247
175,0.008946330303835412
176,0.005144341573579248
177,-0.001518928005311971
178,-0.002576400290804328
179,0.00039244870654467286
180,-0.002392093332693256
181,0.01105926978392554
182,-0.0019276418735243242
183,-0.005339414357701136
184,0.00794207929166539
185,-0.0028453091664355323
186,0.003932150540583644
187,0.003376938030430353
188,-0.000292810252725271
189,-0.004864983822613481
190,-0.0002409146348919524
191,-0.0058493055316610944
192,-0.00011858881268451658
193,0.00386390733229829
194,0.008588900330959989
195,-0.005439245579721442
196,-0.0012522930199796386
197,-0.0026240554211264034
198,0.0013686968875374409
199,-0.007609041881554101
200,-0.004643313385624833
201,-0.008460082790343177
202,-0.007191522703325521
203,-0.0033021889695604273
204,0.008354413064129438
205,0.001738002384663166
206,0.0003249793679990319
207,0.006734430020142422
208,0.0019179894059170954
209,0.002387880556985037
210,-0.002365122325899006
211,-0.0031866417780454094
212,-0.006555634748657096
213,-0.0030054478302069592
214,-0.001402617070495262
215,0.0017235947375846025
216,-0.0001837920752235178
217,-0.001825347329338444
218,-0.004558383759483747
219,0.0019956340397760523
220,-0.0024888304351692045
221,0.0017689825399599462
222,-0.009566360547967681
223,0.0016821058148494715
224,0.003734534513981194
225,0.0030976542968187398
226,-0.0009836021267534735
227,0.0045765915771218855
228,-0.006364794414779237
229,-0.00044603032603265106
230,-0.0009669790058034951
