time,drawdown
0,0.0
1,-0.0011826430117118465
2,0.0
3,0.0
4,-0.0021415337472333595
5,-0.0042829033167251646
6,0.0
7,0.0
8,-0.0044947438593495245
9,0.0
10,-0.004434176928124624
11,-0.008891474463827195
12,-0.006271851748166857
13,-0.025204654194744838
14,-0.04225383251987517
15,-0.0476767078122849
16,-0.05760501901562913
17,-0.054262545689676395
18,-0.06314278644488851
19,-0.07706582345824142
20,-0.062209335769025875
21,-0.06426709877389124
22,-0.063391816727012
23,-0.07743929858914655
24,-0.08268312583439838
25,-0.08137389993729972
26,-0.09268383571152275
27,-0.08872685552806603
28,-0.09453324242725408
29,-0.09725017992518685
30,-0.10306724604748083
31,-0.08434446420239144
32,-0.08427943644977079
33,-0.09465654573932979
34,-0.08623109661829789
35,-0.09823953311800812
36,-0.09595089716796057
37,-0.11534759840675832
38,-0.12842945889574262
39,-0.12626084653705139
40,-0.11867618073709728
41,-0.11676249792519758
42,-0.11771898074907998
43,-0.12053001770497286
44,-0.13511523760864713
45,-0.14211367969259422
46,-0.1465200674021921
47,-0.13574884514000296
48,-0.13211266224431834
49,-0.14954306379794569
50,-0.1461022241039977
51,-0.14975304690816088
52,-0.15632226691122048
53,-0.1500055040228118
54,-0.13949550879785227
55,-0.12998270760669028
56,-0.13817488283891666
57,-0.14106700659742882
58,-0.13755437228339318
59,-0.12759892101216957
60,-0.1321906633906225
61,-0.13384725315726065
62,-0.14471060289732096
63,-0.15647266913812766
64,-0.14814741091418568
65,-0.13438501062847746
66,-0.13490511184428078
67,-0.12466978286536055
68,-0.12085342261488422
69,-0.12710462016093546
70,-0.12329066410585132
71,-0.10771029844119162
72,-0.10786855883229114
73,-0.09202212227415107
74,-0.11801957331504853
75,-0.1096005482712963
76,-0.10853007758891459
77,-0.11132015109357327
78,-0.11020254332821824
79,-0.12987823247422717
80,-0.1318749513526023
81,-0.12810382563748482
82,-0.11312488519006966
83,-0.11810758737280613
84,-0.125992523401738
85,-0.13081009383758338
86,-0.12145607266056263
87,-0.11796856156396579
88,-0.12306616360163618
89,-0.11773348927050262
90,-0.11656271377702221
91,-0.10667626387169332
92,-0.11349679481046684
93,-0.11657341627644453
94,-0.1202944978077661
95,-0.1347296472890873
96,-0.13156844451844152
97,-0.12875789179664265
98,-0.12850675723021804
99,-0.13065262856396948
100,-0.14460633598447364
101,-0.14861278921212723
102,-0.1518399343773949
103,-0.1596627070696111
104,-0.1610755641862712
105,-0.15683505561812583
106,-0.1377731966060205
107,-0.13582741847770213
108,-0.1330519145704745
109,-0.13359637372813615
110,-0.15258408588112657
111,-0.15264922463561875
112,-0.15184692253620846
113,-0.12701450141135562
114,-0.12873811105916683
115,-0.1255226376358307
116,-0.12566975533288316
117,-0.13715653570907846
118,-0.12552830756392824
119,-0.11780897723706052
120,-0.10969865776663004
121,-0.11859253231457743
122,-0.10436458920521643
123,-0.11818309983313925
124,-0.11211452889513655
125,-0.09000997263703676
126,-0.09971533588834365
127,-0.10517831318437137
128,-0.10398179953349496
129,-0.10881655607465696
130,-0.12412319038531827
131,-0.12323756063725799
132,-0.13366059777451905
133,-0.12872467346816724
134,-0.13771891581050527
135,-0.12201957176032986
136,-0.12965210468369223
137,-0.132672719845749
138,-0.1243375476720523
139,-0.13644619083639184
140,-0.13397159149035054
141,-0.12070016394752625
142,-0.13657499629313852
143,-0.13452865770781547
144,-0.13172982976533126
145,-0.12371160104755814
146,-0.13588110815633897
147,-0.14888567428718172
148,-0.14346625863101276
149,-0.14029641189868086
150,-0.1375914833952221
151,-0.13392700130025237
152,-0.14052724851603726
153,-0.13800471154442723
154,-0.13487398681144042
155,-0.1418175009917041
156,-0.12295975588025652
157,-0.11802142667113864
158,-0.12973446164316513
159,-0.12296892555682683
160,-0.13251574225910004
161,-0.12444489622167551
162,-0.11265894043160146
163,-0.12066576361511856
164,-0.11083200232267534
165,-0.10650419305331035
166,-0.09808359145336545
167,-0.07891566162682599
168,-0.0811695427868547
169,-0.08850690443042959
170,-0.09720204872668482
171,-0.1051601515763392
172,-0.10573116867048024
173,-0.10211964892231382
174,-0.09915274092901362
175,-0.09068090843865338
176,-0.09035088951987431
177,-0.07561554874830115
178,-0.0780621170806807
179,-0.05066042541478452
180,-0.04420375193713445
181,-0.05257532750129728
182,-0.06308425248190841
183,-0.05805952832947655
184,-0.06009415618273506
185,-0.05275415124181414
186,-0.04782177499607869
187,-0.04835006412264742
188,-0.056618001303331465
189,-0.07156647355019011
190,-0.07583162307086033
191,-0.0670676351276256
192,-0.06472669768632355
193,-0.07698408547344343
194,-0.07505227621493162
195,-0.07099910241764325
196,-0.07963767677965458
197,-0.0779004257201993
198,-0.0771183385357393
199,-0.08834804151404553
200,-0.0845701679105627
201,-0.07876232264688035
202,-0.06773181021512759
203,-0.05699378969477855
204,-0.07057048337434946
205,-0.07974873377350068
206,-0.07439838110141409
207,-0.06906052159229199
208,-0.06371004472923152
209,-0.024982729822684305
210,-0.019073824715752634
211,-0.007518168313946645
212,0.0
213,0.0
214,-0.0029526924464034557
215,0.0
216,-0.007528252145375718
217,-0.009696438212775806
218,-0.01435007369106684
219,-0.013331332297203617
220,0.0
221,-0.01847265192591748
222,-0.011410050022172345
223,-0.027337208734068863
224,-0.0318565273919632
225,-0.02076702142228954
226,-0.019924221231334915
227,-0.03050166901062798
228,-0.03745470610322766
229,-0.030458728613880902
230,-0.03756239493105227
231,-0.03519780903523252
232,-0.034542090636194386
233,-0.04085809411225256
234,-0.019218653218999307
235,-0.012679462995819193
236,-0.032730888862395266
237,-0.03066634571470099
238,-0.03708421036238487
239,-0.028359877014422635
240,-0.03608508439874964
241,-0.037032448813418634
242,-0.03178257602361406
243,-0.022925024081912847
244,-0.03472798815247061
245,-0.03787300051088009
246,-0.042422453622489656
247,-0.04875574594822678
248,-0.030901203545415805
249,-0.02665138643580625
250,-0.039060225979156704
251,-0.029681606508608946
252,-0.008260044538482614
253,0.0
254,-0.01499369965954013
255,-0.019636040388202644
256,-0.006766928896336413
257,-0.013643623552524221
258,-0.009005429271061932
259,-0.0010590887367685625
260,-0.010128393452549386
261,-0.010523647013167388
262,-0.042736320413858116
263,-0.05278019682720102
264,-0.05510587834113262
265,-0.06738371016078111
266,-0.05085959712146476
267,-0.06496101090107108
268,-0.06916145576804092
269,-0.06765404999518002
270,-0.053041317104518856
271,-0.06719993861631325
272,-0.05536830109476365
273,-0.05506597048456778
274,-0.0646810569950473
275,-0.05986002225241458
276,-0.057669425296679885
277,-0.06347159406826783
278,-0.06257357321836764
279,-0.06622670918698524
280,-0.06489153573447276
281,-0.0580702289892623
282,-0.042010060827808775
283,-0.054188215816077266
284,-0.0326578820695146
285,-0.05197876006473962
286,-0.05329661101509546
287,-0.047213438950249695
288,-0.044203520272899366
289,-0.050230515471105304
290,-0.05211173797467805
291,-0.056841747321266387
292,-0.0625353948907085
293,-0.05383937392049825
294,-0.050069219060847776
295,-0.05679831501345432
296,-0.04760231625912181
297,-0.044329321050355724
298,-0.03600069986196612
299,-0.02950441144273
300,-0.03759436155195072
301,-0.042996171953920415
302,-0.0353232359026878
303,-0.02901953324835315
304,-0.029028549187994634
305,-0.027655275354906812
306,-0.01467862639702256
307,-0.02039434028538086
308,-0.014723366473680485
309,-0.016545292998019427
310,-0.018522105030291627
311,-0.007334336510419731
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,-0.0029026675659345608
318,0.0
319,-0.0011014305436768401
320,0.0
321,0.0
322,-0.00798220683233472
323,0.0
324,-0.009860173814997014
325,-0.021802059942874333
326,-0.010020951207873649
327,-0.0019043242682442868
328,0.0
329,0.0
330,0.0
331,-0.008772543714858305
332,-0.007814498132921038
333,-0.014386115248042161
334,-0.004434917913864661
335,-0.005705491728886042
336,-0.013760463696811151
337,-0.01677432211334108
338,-0.012445007570584837
339,-0.01788225309862458
340,-0.0259044570542889
341,-0.02326758493936977
342,-0.020617919228282544
343,-0.02548735098199384
344,-0.02999773403817707
345,-0.02747723466460071
346,-0.04175807807957395
347,-0.05563271582333951
348,-0.06261715803586387
349,-0.06455162955298234
350,-0.0612425538970023
351,-0.04628899172750678
352,-0.037512395495486586
353,-0.03891178079512085
354,-0.038901942874147735
355,-0.048727236520525824
356,-0.04871236788044972
357,-0.051398954269651104
358,-0.047971768666270204
359,-0.05604407810179343
360,-0.05065061295938171
361,-0.035123223829355926
362,-0.03601082531392451
363,-0.031793708092935094
364,-0.02469226817582397
365,-0.02850447289468233
366,-0.026063548076578166
367,-0.02573762406876022
368,-0.024560863083271905
369,-0.032090960921826575
370,-0.03164585917923715
371,-0.02646587626678265
372,-0.011754440188832233
373,-0.0019617319279801593
374,0.0
375,-0.007473475628880483
376,0.0
377,0.0
378,0.0
379,-0.007882982853551518
380,-0.01608020127535928
381,-0.021874127729799492
382,-0.04291308497289756
383,-0.04797063518970518
384,-0.055361961805242166
385,-0.05365802394048008
386,-0.050040464182708494
387,-0.03107875579054964
388,-0.021374517408689148
389,-0.02694355396531317
390,-0.03572770067879674
391,-0.030608508963731684
392,-0.043610841033938114
393,-0.02509625337539459
394,-0.013101852168181716
395,-0.017593608689228768
396,-0.03452495398013755
397,-0.020786230238483416
398,-0.021731628691009586
399,-0.009153465571274971
400,-0.02489774215921864
401,-0.030691492388756375
402,-0.030439055391574543
403,-0.029769249453927116
404,-0.03406990416871955
405,-0.02764140484524455
406,-0.0381176091390705
407,-0.03934140398928343
408,-0.03793844767216445
409,-0.03259405933157697
410,-0.025277910550688065
411,-0.036324331469066745
412,-0.05146547317642297
413,-0.03848870495743789
414,-0.03496556483764199
415,-0.04225043020320751
416,-0.02653891044798229
417,-0.025182164105053695
418,-0.013189192264415422
419,-0.01231400745031433
420,0.0
421,0.0
422,-0.0022896414847907443
423,0.0
424,0.0
425,0.0
426,-0.009449234605801049
427,-0.0023887200058166635
428,0.0
429,-0.01738739486423113
430,-0.029019979990888872
431,-0.04921230176848987
432,-0.05170637011293544
433,-0.044330947554975825
434,-0.02910737703401553
435,-0.02816642922981777
436,-0.011680273774104855
437,-0.02528128835625376
438,-0.04211511274980531
439,-0.04247058973877149
440,-0.03842993524937843
441,-0.038556882730319375
442,-0.05903130373071813
443,-0.05972250412584601
444,-0.07256719913089454
445,-0.06567047364259415
446,-0.061804491181625676
447,-0.07100328904489922
448,-0.07594195821826616
